"EuclideanDistance","Mean_Distance","NN_1","NN_2","NN_3","NN_4","NN_5","Mean_NN"
3480.52906246501,0.429685819690001,0.0785674201318386,0.0785674201318386,0.0785674201318386,0.0839100414832956,0.132127066600281,0.0903478736958185
3284.30321016334,0.405458944039156,0.0831890330807703,0.0831890330807703,0.13488188476356,0.13488188476356,0.13488188476356,0.114204744090444
3098.83725091958,0.382585786091252,0.04723895281547,0.0543928293220421,0.0543928293220421,0.0543928293220421,0.0769230769230769,0.0574681035409347
3160.13215573717,0.390152857628897,0.0706240405389044,0.0832257809350258,0.141136553122212,0.143527000944073,0.159305973999096,0.119563869907862
3752.63525256699,0.463298302660619,0.0564169333655275,0.0785674201318386,0.0785674201318386,0.0785674201318386,0.0785674201318386,0.0741373227785764
3034.87145057143,0.374686139955604,0.128087271835843,0.134782922364969,0.134782922364969,0.157900051627144,0.158631613872102,0.142836956413006
3294.78072914749,0.406754194735638,0.0831890330807703,0.117647058823529,0.133268889414646,0.133268889414646,0.133268889414646,0.120128552029648
3181.04526993125,0.392728876585648,0,0.0428549564355483,0.0841939215455947,0.0841939215455947,0.104256230119414,0.0630998059292303
3879.27149123984,0.478930159622542,0.259551274135431,0.260725601610544,0.264887314260608,0.26620330112691,0.267217062849074,0.263716910796513
3366.87630107609,0.41567891481099,0.101015254455221,0.174963553055941,0.195615199108988,0.195615199108988,0.195615199108988,0.172564880967625
3225.7885343882,0.39825990831782,0,0.159861050777091,0.17042634446848,0.172311804658565,0.172311804658565,0.13498220091254
3801.74418890978,0.4693403032046,0,0.117473401244707,0.17109463107025,0.175452190280943,0.188221196826795,0.130448283884539
4228.54160485821,0.522031780105638,0.117473401244707,0.117473401244707,0.161475633348469,0.177840431103029,0.198291519302311,0.154510877248645
3779.79185726279,0.466659588814287,0.108785658644084,0.108785658644084,0.108785658644084,0.108785658644084,0.108785658644084,0.108785658644084
4386.52772363648,0.541559713326909,0,0,0,0,0,0
3330.84480470669,0.411217682739136,0.0587894797818134,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.065091229289696
3525.29961397409,0.435229964795262,0.0487659849094171,0.0689655172413793,0.0689655172413793,0.0754254239840134,0.0844651635442475,0.0693175213840873
3532.32476716771,0.43608311085866,0.0582249431812135,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0668174024293462
3266.09686963903,0.403241564485107,0.0912395846692319,0.0912395846692319,0.102008956779625,0.107473104831985,0.11079092424121,0.100550431038257
3794.43983452058,0.468448752256976,0.128920512778062,0.128920512778062,0.148864585512957,0.153446102495929,0.153446102495929,0.142719563212188
4386.52772363648,0.541548126703527,0,0,0,0,0,0
4386.52772363648,0.541552035688411,0,0,0,0,0,0
4386.52772363648,0.541553796175333,0,0,0,0,0,0
3271.19289690657,0.4038573400416,0.086744275398274,0.086744275398274,0.0942809041582063,0.105409255338946,0.105409255338946,0.0957175931265293
4106.69999492995,0.507012088836259,0.286292892725542,0.29658550700087,0.29658550700087,0.304290309725092,0.305554054212673,0.297861654133009
4386.52772363648,0.541537027169585,0,0,0,0,0,0
4386.52772363648,0.541557669873351,0,0,0,0,0,0
4386.52772363648,0.541562109247431,0,0,0,0,0,0
4386.52772363648,0.541555216222059,0,0,0,0,0,0
4386.52772363648,0.541549056336512,0,0,0,0,0,0
4386.52772363648,0.541568655649184,0,0,0,0,0,0
4386.52772363648,0.541576337942168,0,0,0,0,0,0
4308.08281690051,0.531875932897963,0,0,0,0,0.14142135623731,0.0282842712474619
4308.08281690051,0.531879447100331,0,0,0,0,0.14142135623731,0.0282842712474619
4769.29752352381,0.588822215844101,0,0,0,0,0,0
3586.72152814584,0.442823602960234,0,0.0785674201318386,0.0785674201318386,0.0785674201318386,0.0785674201318386,0.0628539361054709
3176.85042541249,0.392211413789262,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758
3107.59687503593,0.38366316621108,0,0.0808869564547827,0.117851130197758,0.117851130197758,0.117851130197758,0.0868880694096113
3482.55153284031,0.429955995857054,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758
3322.45414568619,0.410184126152951,0,0,0.117851130197758,0.117851130197758,0.117851130197758,0.0707106781186548
3281.82728858457,0.405159411014125,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758,0.117851130197758
3525.4982920156,0.435244927695138,0,0.0785674201318386,0.0785674201318386,0.157134840263677,0.157134840263677,0.0942809041582063
3650.85414069183,0.450736205067533,0,0,0.0562114065134668,0.0942809041582063,0.0942809041582063,0.0489546429659759
3687.35607327163,0.455229214473245,0.148155706534324,0.148155706534324,0.163299316185545,0.163299316185545,0.184330264160117,0.161448061919971
3699.24919058818,0.456705558449099,0,0.108785658644084,0.108785658644084,0.108785658644084,0.108785658644084,0.0870285269152674
2841.48112927153,0.350815628951916,0.107333786056655,0.125218147873108,0.127190169736284,0.127901070295244,0.127901070295244,0.123108848851307
3047.37963273509,0.376216099889064,0.0714285714285714,0.109684721913375,0.113899613899614,0.128764534632699,0.13477115902938,0.111709720180728
2972.75356081041,0.367008613406264,0.0714285714285714,0.102425817721099,0.107333786056655,0.116022517167125,0.117181135398678,0.102878365554426
3258.33202264275,0.402255162736019,0.0785674201318386,0.0785674201318386,0.0785674201318386,0.111111111111111,0.111111111111111,0.0915848965235476
2996.24294062148,0.369913599979935,0,0.113564190644874,0.113564190644874,0.115420948986103,0.115420948986103,0.091594055852391
3854.23663692642,0.475831183879466,0.0614875461901346,0.0614875461901346,0.162680755946693,0.162680755946693,0.181416558118466,0.125950632478424
3135.61433172225,0.387125483129519,0,0.058925565098879,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0617851130197758
3170.87861750471,0.39147753319612,0,0.058925565098879,0.058925565098879,0.058925565098879,0.0833333333333333,0.052022005725994
3120.16850563334,0.385229712768283,0.0645161290322581,0.0912395846692319,0.0912395846692319,0.0912395846692319,0.102008956779625,0.0880487679639158
3350.42877228777,0.413661724494396,0.122933222495181,0.126859064927738,0.130691222101627,0.130691222101627,0.13593795268387,0.129422536862008
3261.89351559761,0.402718428105988,0,0.0873228053325973,0.114173925167714,0.114173925167714,0.114173925167714,0.0859689161671477
3921.21055422395,0.484114706385064,0.231565215392105,0.236311648604702,0.236311648604702,0.242089376958152,0.242089376958152,0.237673453303563
